list_source,api_developer_name,distinct_url_count
https://fhir-api.golunar.com,"Lunar Systems, Inc.",448
https://fhir-apis.meditech.com/v1/brands,"Medical Information Technology, Inc. (MEDITECH)",464
https://fhir-app-portal.aidbox.app/service-base-urls,"Health Samurai, Inc.",28
https://fhir-dev.cloudmd365.com/public-base-url-info,"Softbir, Inc.",1
https://fhir-dev.edvak.com/fhir/.well-known/service-base-url.json,Edvak Technologies Inc,1
https://fhir-server.sam.wrs.dev/r4/ServiceBase,WRS Health,1
"https://fhir-service.medicscloud.com/r6/DA/get-clients-end-points
https://fhir-service.medicscloud.com/r6/mc/get-clients-end-points",Advanced Data Systems Corporation,1
https://fhir-servicebaseurl.fhirhlprod.greenwayhealth.com/servicebundle.json,"Greenway Health, LLC",1366
https://fhir-usa.unify.chbase.com/.well-known/endpoint,"TruBridge, Inc.",479
https://fhir.10e11.com/fhir/r4/endpoints,TenEleven Group,6
https://fhir.allegiancemd.io/R4/urls/endpoints.json,"AllegianceMD Software, Inc.",1
https://fhir.compulinkadvantage.com/endpoints,Compulink Healthcare Solutions,2
https://fhir.cozeva.com/r4Endpoints.json,"Applied Research Works, Inc.",1
https://fhir.digidms.com/fhir.json,"DigiDMS, Inc.",1
https://fhir.eclinicalworks.com/ecwopendev/external/practiceList,"eClinicalWorks, LLC",17343
https://fhir.elationemr.com/fhir/fhir-base-url,"Elation Health, Inc.",1
https://fhir.ethizo.com/api/4.0.0/service_based_url,"DocToMe, Inc.",1
https://fhir.footholdtechnology.com/Endpoint,"Foothold Technology, Inc.",18
https://fhir.genensys.com/fhir/ServiceBaseURLs.json,Genensys LLC,1
https://fhir.maximeyes.com/api/maximeyes.com/R4/PracticeBundle,First Insight Corporation,422
https://fhir.maximus.care/api/service_based_url,MaxRemind Inc,1
https://fhir.mdland.net/ai/MDLandServiceBaseURLBundle.json,MDLAND,1
https://fhir.mdnavigatorclinical.com/fhirurlpublication/api/endpoint,Benchmark Systems,62
https://fhir.medent.com/fhir/resources/ServiceBaseURL.php,"medent - Community Computer Service, Inc.",46
https://fhir.meditouchehr.com/api/fhir/r4/endpoint,NextGen Healthcare,1
https://fhir.mhealthaz.com/servceurlsmedaz.json,"MedAZ.Net, LLC",1
https://fhir.mkoss.com/FhirDocs/downloadJSON,Mendelson Kornblum Orthopedic & Spine Specialists,1
https://fhir.myqone.com/api/FHIR/R4/EndpointBundle,TRIARQ Practice Services,27
https://fhir.netsmartcloud.com/brand/brands.json,Netsmart Technologies,16
https://fhir.pcisgold.com/fhirdocs/practices,PCIS GOLD,5
https://fhir.pointclickcare.com/R4endpoints.json,PointClickCare Technologies Inc.,4015
https://fhir.practiceehr.com/servicebaseurl.json,Practice EHR LLC,1
https://fhir.prd.cloud.tebra.com/fhir-organizations,"Tebra Technologies, Inc.",1
https://fhir.procentive.com/fhir/r4/endpoints,Procentive,1
https://fhir.prod.flatiron.io/fhir,Flatiron Health,1
https://fhir.qsmartcare.com/,Magilen Enterprises Inc,1
https://fhir.solidpractice.com/Endpoints-R4.json,"SolidPractice Technologies, LLC",1
https://fhir.spryhealth.care/fhir,"SPRY Therapeutics, Inc",1
https://fhir.thesnfist.com/endpointlist,Sai Systems Digital LLC,1
https://fhir.trimed.cloud/fhir/R4/bundle/,TriMed Technologies,1
https://fhirapi.asp.md:3030/aspmd/fhirserver/endpoints.asp,ASP.MD Inc.,1
https://fhirapi.cursahealth.com/r4/service_based_url,CursaHealth LLC,1
https://fhirapi.endosoft.com/apiendpoints.json,"EndoSoft, LLC",1
https://fhirapi.medcaremso.com/api/R4/BaseUrls,Medcare MSO,2
https://fhirapi.naiacorp.net/fhir/r4/endpoints,"CloudCraft, LLC",2
https://fhirapis-qa2.patientfirst.com/service-base-urls,Patient First,1
https://fhirbackup.emedpractice.com:8443/emedicalpracticebundle.json,eMedPractice LLC,1
https://fhirendpoint.curemd.net/fhir/DEFAULT/Bundle/ServiceBaseURLs,"CureMD.com, Inc.",882
https://fhirjuno-prod-web.dssinc.com/fhir/r4/endpoints,Juno Health,2
https://fhirpresentation.pcsdataxchg.com/fhir/r4/endpoints,Prime Clinical Systems,2
https://fhirpresentationdev.axxessweb.com/fhir/r4/endpoints,Axxess,1
https://fhirpt.officeally.com/fhir/r4/endpoints,"Office Ally, LLC",10577
https://fhirservice.staging.psychplus.dev/fhir/r4/v3/service-based-url,Galaxy,1
https://fhirservr4-apim.azure-api.net/smart/service-base,"Prime DataQ Health, LLC",1
https://fhirurls.prognocis.com/fhirurlpublication/api/endpoint,Bizmatics Inc.,934
https://fusion.helixbeat.com/fhir/R4/,Helixbeat,1
https://g2fhir.mckesson.com/xfhir/Endpoint,McKesson Specialty Health Technology Products LLC (Ontada),1
https://gsehrwebapi.geniussolutions.com/content/json/bundlevalidation/bundlevalidation.json,Genius Solutions Inc.,1
https://hapi.omnimd.com/fhir/servicebaseurls,OmniMD Inc.,1
https://hcswebportal.corporate.hcsinc.net/HCSClinicals_FHIR/api/Endpoint?connection-type=hl7-fhir-rest,"Health Care Systems, Inc.",1
https://help.relimedsolutions.com/fhir/r4-endpoint-bundle.json,"ReLi Med Solutions, LLC",54
https://ihs4dhapim.ihs.gov/base-url/base-url,Indian Health Service,2
https://inpracsys.com/wp-content/uploads/2024/12/FhirServiceBaseBundleV10.json,InPracSys,1
https://interop.ehnote.com/fhir/servicebaseurl.json,"EHNOTE,INC",1
https://interoperability.hcsc.com/s/provider-directory-api,Unknown,1
https://irp.cdn-website.com/b9c8e2cb/files/uploaded/fhir-endpoints-79e491b6.json,MedPharm Services LLC,1
https://isalus-fhirpresentation.everhealthsoftware.com/fhir/r4/endpoints,iSALUS Healthcare,82
https://kantime.com/wp-content/uploads/2026/02/fhir-base-urls-1.json,Kanrad Technologies Inc,1
https://main.open.ahcentral.com/fhirendpoints/download/R4?endpointFilter=Patient,Altera Digital Health Inc.,234
https://mdcare.com/resources/API.json,Vision Infonet Inc,1
https://mdrfhirapi.mdronline.net/files/ServiceURL.json,"TechSoft, Inc.",1
https://micromd.dynamicfhir.com/fhir/r4/endpoints,"MicroMD, LLC",1
https://mie.webchartnow.com/?f=layoutnouser&name=FHIR-EndPoints&json,Medical Informatics Engineering,100
https://mmdpcf.modulemd.com/cf.fhir.r4/ServiceBaseURL.json,ModuleMD,1
https://mofapi.medicalofficeforce.co/service-base-url-bundle,"Medical Office Force, LLC.",1
https://mraemr.com/images/ValidURLs.json,"MD Charts, LLC",1
